Marca temporal,1 - ¿Tienes mascota?,2 - Indica tu género ,3 - Edad ,4 - ¿Qué mascotas tienes? ,5 - Si tienes perro...,6 - Si tienes gato...,7 - ¿Cuánto tiempo al día pasas con tu mascota? ,8 - ¿Cuándo vas de vacaciones viajas con tu mascota? ,"9 - Aproximadamente, ¿cuánto dinero gastas al año en tu mascota?",10 - ¿Tienes esterilizada a tu mascota?,"11 - Si tienes perro, ¿de qué raza es? ","12 - Si tienes gato, ¿de qué raza es? ",13 - ¿Consideras que tu mascota te hace más feliz?,14 - ¿Consideras que tu mascota es un miembro más de la familia?
22/04/2024 16:22:27,Sí,Hombre,18-25 años,Gato,,Adoptado,30 minutos,No,Menos de 1000€,Sí,,No lo sé,Sí,Sí
22/04/2024 16:23:35,No,Mujer,18-25 años,,,,,,,,,,,
22/04/2024 16:24:23,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,Perro de aguas,,Sí,Sí
22/04/2024 16:27:07,Sí,Mujer,35 - 45 años,Perro,Adoptado,,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,Mestizo,,Sí,Sí
22/04/2024 16:29:31,Sí,Mujer,35 - 45 años,Gato,,Comprado,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,,Otro,Sí,Sí
22/04/2024 16:52:09,Sí,Mujer,25- 35 años,"Perro, Gato, Peces",Comprado,Adoptado,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,Labrador ,Otro,Sí,Sí
22/04/2024 16:52:31,Sí,Mujer,18-25 años,Perro,Comprado,,30 minutos,No,Entre 2000€ y 3000€,No,Golden retriever,,Sí,Sí
22/04/2024 16:54:38,Sí,Hombre,25- 35 años,Gato,,Adoptado,+ de 1 hora,A veces,Menos de 1000€,Sí,,Azul ruso,Sí,Sí
22/04/2024 17:25:18,Sí,Mujer,25- 35 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,No lo sé,Sí,Sí
22/04/2024 17:32:33,Sí,Mujer,35 - 45 años,Perro,Adoptado,,+ de 1 hora,No,Entre 1000€ y 2000€,Sí,Bichon Maltes,,Sí,Sí
22/04/2024 17:39:56,Sí,Mujer,25- 35 años,Perro,Adoptado,,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,Chow chow,,Sí,Sí
22/04/2024 17:40:17,Sí,Mujer,25- 35 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,Sí,Entre 1000€ y 2000€,No,Border collie,Siamés,Sí,Sí
22/04/2024 17:40:26,Sí,Mujer,18-25 años,Perro,Comprado,,+ de 1 hora,No,Más 3000€,No,"Golden retriever, Yorkshire terrier",,Sí,Sí
22/04/2024 17:41:06,Sí,Mujer,25- 35 años,"Perro, Gato",Adoptado,Adoptado,+ de 1 hora,A veces,Entre 1000€ y 2000€,Sí,Mestizo,Otro,Sí,Sí
22/04/2024 17:50:19,Sí,Hombre,35 - 45 años,Gato,,Adoptado,+ de 1 hora,No,Menos de 1000€,Sí,,Otro,Sí,Sí
